swept_parameter,measured_time_exponent,offset_corrected_exponent,exponent_ci_low,exponent_ci_high,ci_width,fixed_overhead_t0_s,paper_reference_exponent,ci_covers_paper_exponent,measured_memory_exponent,time_span_ratio,abs_diff_vs_paper,abs_diff_vs_paper_offset_corrected
m,1.0874654183828665,1.2761905937021358,0.9487818711250426,1.773467561437842,0.8246856903127993,0.31193130733813934,1.0,True,0.829132313652953,16.178344936681512,0.08746541838286648,0.27619059370213583
n_bar,0.617137595047062,1.0898091072609517,0.9416533754360807,1.154140104034761,0.21248672859868023,1.1906397066622352,0.71,False,0.5284443863836563,6.70615939369029,0.09286240495293796,0.37980910726095174
S,0.0909106831500851,0.0909106831500851,-0.03486821357096584,0.48258441112699474,0.5174526246979606,0.0,0.01,True,0.9952843386845224,1.4901190813905125,0.08091068315008511,0.08091068315008511
K,0.903173837304092,0.903173837304092,0.8025521249520849,1.4398831689895566,0.6373310440374717,0.0,1.0,True,0.42928503174197896,6.497171629629985,0.09682616269590805,0.09682616269590805
G,0.3346937600680609,0.3346937600680609,0.1498172927540196,0.5516236555838632,0.4018063628298436,0.0,1.0,False,-1.6287883405252038e-05,2.090353613513395,0.6653062399319392,0.6653062399319392
