success_definition,N,C,C_over_N,median_lower,median_upper,q05_lower,q05_upper,q95_lower,q95_upper,envelope_area,max_cdf_separation,n_configs
Pass@1,257,121,0.4708171206225681,0.46665621137287383,0.47608622556692004,0.41444565508131515,0.4246036855629884,0.5178915526531602,0.5269183143788009,0.009159999999999998,0.11633333333333334,160
Pass@3,257,127,0.49416342412451364,0.48917934066015345,0.49922888119418757,0.43757568470949004,0.4472876512393567,0.540283207220537,0.5499649842136456,0.00949666666666667,0.12066666666666664,160
