source,model,median_swing,mean_envelope_width
official_figure_numerics,GPT-4o,0.008906187775790109,0.11740111570975709
official_figure_numerics,Sonnet 4.5,0.02828899833036025,0.11030299313877852
paper_table3,GPT-4o,0.2695223632042739,0.15133774546460177
paper_table3,Sonnet 4.5,0.04672392415185733,0.13430633786929105
