model,D1 median lo,D1 median hi,D2 median lo,D2 median hi,p_L median lo,p_L median hi,p_L q05 lo,p_L q95 hi,envelope area,n_config_tuples
GPT-4o,0.4692158119764724,0.49726424323275087,0.8914527084732595,0.9204475826509642,0.829849996220529,0.8557217044035682,0.7905863891387219,0.8852899712811063,0.026201666666666644,512
GPT-4o-mini,0.4283202721138023,0.45402632925107334,0.8540566589589251,0.882622324063167,0.7918186280612771,0.817172538021771,0.7494561958277711,0.8514970425695739,0.025681666666666665,512
Sonnet 4.5,0.48127949803880593,0.5099332012320725,0.9045011804391909,0.9336478463680009,0.8432169704057333,0.8695143599645643,0.8054744205154893,0.8953317542508659,0.026163333333333323,512
Haiku 3.5,0.46611613815568065,0.4927855793981829,0.8476232534006021,0.8760250443312398,0.7921839778341733,0.817878791920934,0.7463586237099602,0.8528773409081597,0.02634333333333333,512
