model,peak_width_at_n_F,peak_width,E[R_L(1)] lower,E[R_L(1)] upper
GPT-4o,6,0.0649290361115708,0.8288816079600116,0.8546710061051593
GPT-4o-mini,5,0.05203178699270333,0.7908610228041616,0.8158808075694881
Sonnet 4.5,6,0.07078223954463847,0.842266827713328,0.868243310176908
Haiku 3.5,5,0.05326947077864924,0.7908241586873647,0.8164618205827804
