model,mean_of_printed_cells,printed_llm_mean,abs_diff
GPT-4o,0.5880000000000001,0.585,0.0030000000000001137
GPT-4o-mini,0.6599999999999999,0.661,0.001000000000000112
Sonnet 4.5,0.67075,0.671,0.0002500000000000835
Haiku 3.5,0.6679999999999999,0.668,1.1102230246251565e-16
