hyperparameter,median_range,area_range,sep_range
a,0.0014906550845111832,0.00238,0.03600000000000003
b,0.0009510178839644556,0.0011083333333333292,0.01699999999999996
c,0.0019313644181591094,0.0024266666666666603,0.03999999999999998
d,0.009201241851680031,0.016921666666666647,0.2863333333333333
