theta_BoolQ,regime,level,C,median_lower,median_upper,q05_lower,q05_upper,q95_lower,q95_upper,envelope_area,max_cdf_separation,n_configs
0.915,i.i.d.,BoolQ subdomain,73,0.8885566433935715,0.9164324909178828,0.825679115414769,0.8571730028082292,0.9367285384809797,0.9591768957640356,0.027648333333333344,0.336,160
0.915,i.i.d.,Reasoning domain D2,73,0.9045011804391909,0.9336478463680009,0.862417000351723,0.8965239756658896,0.9392567072092959,0.960556710245787,0.028626666666666682,0.48800000000000004,160
0.915,i.i.d.,LLM,73,0.8432169704057333,0.8695143599645643,0.8054744205154893,0.8366141369836418,0.8738506363746958,0.8953317542508659,0.026163333333333323,0.48566666666666664,512
0.94,non-i.i.d.,BoolQ subdomain,75,0.9142959073051005,0.9414242413163418,0.8548471283759668,0.8895721275267672,0.9559498345376374,0.9758783245833563,0.027401666666666668,0.37133333333333335,160
0.94,non-i.i.d.,Reasoning domain D2,75,0.9178314567320995,0.9459245696863021,0.8773917865754919,0.9114995359003332,0.949783786501611,0.9699164671479819,0.027995,0.516,160
0.94,non-i.i.d.,LLM,75,0.8546099875860302,0.8795643938305614,0.8185442811811513,0.848239538786633,0.8834628873095809,0.9038427812939451,0.025191666666666675,0.5023333333333333,512
0.945,non-i.i.d.,BoolQ subdomain,76,0.926315731653667,0.9536631837545336,0.8688013195679258,0.9066366310412037,0.9647651950112781,0.982950894980774,0.027434999999999987,0.403,160
0.945,non-i.i.d.,Reasoning domain D2,76,0.9238009251159462,0.9518963355473125,0.8844820333547343,0.9194504022450325,0.9550366495852771,0.9744524221077814,0.027404999999999985,0.5153333333333333,160
0.945,non-i.i.d.,LLM,76,0.8599308352162329,0.8842004847258458,0.8235239848962317,0.8552467172746118,0.888405446583271,0.9077550620048765,0.024893333333333344,0.511,512
