configuration set,K,median lo,median hi,q05 lo,q95 hi,envelope area,median envelope width
16 box corners only,16,0.8156994724468499,0.8596239038399779,0.7746266737855598,0.8876976386630445,0.0439483333333333,0.04392443139312796
160 uniform draws (as configured),160,0.829849996220529,0.8557217044035682,0.7905863891387219,0.8852899712811063,0.026201666666666644,0.025871708183039188
160 corners + interior,160,0.8196329575229212,0.8581262483675308,0.7772937352388466,0.8856726799735836,0.038646666666666635,0.03849329084460962
